new_id,batch,sex,ssctotal,sscyear,hsctotal,hscyear,dif_ssc_hsc,dif_hsc_uni,drop_out,semester1_cgpa,semester1_fail,semester2_cgpa,semester2_fail,semester3_cgpa,semester3_fail,semester4_cgpa,semester4_fail,semester5_cgpa,semester5_fail,semester6_cgpa,semester6_fail,semester7_cgpa,semester7_fail,semester8_cgpa,semester8_fail,semester9_cgpa,semester9_fail,semester10_cgpa,semester10_fail,semester11_cgpa,semester11_fail,semester12_cgpa,semester12_fail,semester13_cgpa,semester13_fail,semester14_cgpa,semester14_fail,semester15_cgpa,semester15_fail,semester16_cgpa,semester16_fail
3,20120,male,4.14,2009.0,4.28,2011.0,0,1,reguler,0.0,3,0.5625,3,1.0865384615384615,1,2.1484375,0,2.0952380952380953,2,2.2244897959183674,2,2.4473684210526314,1,2.466417910447761,2,2.5194805194805197,1,2.5,1,2.512376237623762,0,2.393478260869565,2,2.46218487394958,2,2.561023622047244,0,2.5760869565217392,0,2.5760869565217392,0
4,20090,male,4.5,2006.0,3.8,2008.0,0,1,dropOut,2.875,0,2.8333333333333335,0,2.55,0,2.392857142857143,1,2.176470588235294,3,2.0657894736842106,1,2.0,1,1.8557692307692308,2,1.7232142857142858,2,1.7232142857142858,2,1.7232142857142858,0,1.7232142857142858,0,1.7232142857142858,0,1.7232142857142858,0,1.7232142857142858,0,1.7232142857142858,0
6,20160,female,4.63,2013.0,3.83,2015.0,0,1,reguler,2.4166666666666665,0,2.5795454545454546,0,2.5694444444444446,0,2.297872340425532,2,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0
7,20162,male,5.0,2009.0,5.0,2011.0,0,5,reguler,3.1666666666666665,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0
10,20161,male,5.0,2012.0,4.1,2014.0,0,2,dropOut,2.25,1,1.35,3,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0
12,20170,female,4.75,2013.0,4.0,2015.0,0,2,reguler,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0
13,20120,male,3.94,2009.0,3.9,2011.0,0,1,dropOut,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
14,20112,male,4.38,2004.0,3.4,2007.0,1,4,dropOut,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
15,20141,female,4.25,2011.0,4.7,2013.0,0,1,reguler,3.4375,0,3.4711538461538463,0,3.5128205128205128,0,3.560185185185185,0,3.593283582089552,0,3.4125,1,3.5568181818181817,0,3.5661764705882355,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0,3.5711206896551726,0
16,20152,male,4.06,2012.0,4.7,2014.0,0,1,reguler,3.5833333333333335,0,3.0113636363636362,1,3.65625,0,3.588888888888889,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0
17,20152,female,5.0,2011.0,4.3,2013.0,0,2,reguler,2.8333333333333335,0,2.522727272727273,1,2.4921875,1,2.8988095238095237,0,2.7547169811320753,2,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0
18,20160,male,5.0,2012.0,5.0,2014.0,0,2,reguler,2.5,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0
19,20120,male,4.75,2008.0,3.4,2011.0,1,1,dropOut,1.9166666666666667,1,3.1184210526315788,0,2.828125,1,2.682926829268293,1,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0
21,20160,male,4.75,2013.0,4.75,2015.0,0,1,reguler,2.6666666666666665,0,2.840909090909091,0,3.076388888888889,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0,3.04,0
23,20160,male,5.0,2013.0,4.17,2015.0,0,1,reguler,2.8333333333333335,0,2.5795454545454546,0,2.4191176470588234,1,2.2621951219512195,2,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0,2.2621951219512195,0
25,20132,female,4.69,2007.0,3.7,2009.0,0,4,reguler,3.0833333333333335,0,3.1842105263157894,0,3.462121212121212,0,3.5372340425531914,0,3.639344262295082,0,3.59,0,3.585227272727273,0,3.6029411764705883,0,3.559734513274336,0,3.5813492063492065,0,3.4800724637681157,0,3.4800724637681157,0,3.4800724637681157,0,3.4800724637681157,0,3.4800724637681157,0,3.4800724637681157,0
26,20161,male,5.0,2013.0,4.89,2015.0,0,1,dropOut,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
27,20161,female,4.88,2013.0,4.42,2015.0,0,1,reguler,3.0833333333333335,0,2.9431818181818183,0,2.9214285714285713,1,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0,2.9214285714285713,0
29,20160,female,4.38,2012.0,4.1,2014.0,0,2,reguler,3.0833333333333335,0,3.3295454545454546,0,3.513888888888889,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0,3.573529411764706,0
32,20141,female,4.5,2011.0,3.6,2013.0,0,1,reguler,2.75,0,2.855769230769231,1,2.8175675675675675,0,2.7872340425531914,1,2.8160377358490565,0,2.503787878787879,2,2.5924657534246576,0,2.6666666666666665,1,2.5824175824175826,1,2.5824175824175826,0,2.5824175824175826,0,2.5824175824175826,0,2.5824175824175826,0,2.5824175824175826,0,2.5824175824175826,0,2.5824175824175826,0
33,20161,male,4.38,2013.0,3.75,2015.0,0,1,reguler,3.0,0,2.4318181818181817,1,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0,2.7327586206896552,0
35,20110,male,4.63,2007.0,3.4,2009.0,0,2,reguler,1.0,2,2.173076923076923,0,1.486842105263158,3,1.5909090909090908,1,2.375,0,1.8671875,4,2.3719512195121952,0,2.335,2,2.5833333333333335,1,2.7465277777777777,0,2.51453488372093,3,2.4752475247524752,0,2.5064655172413794,0,2.660569105691057,0,2.6068840579710146,1,2.6440972222222223,0
37,20130,male,4.75,2010.0,4.3,2012.0,0,1,reguler,1.6666666666666667,1,2.039473684210526,1,1.6724137931034482,3,1.8680555555555556,2,1.9777777777777779,1,1.8349056603773586,4,1.8114035087719298,3,1.541044776119403,4,1.6472602739726028,2,2.0,0,2.0821917808219177,2,2.018987341772152,3,2.018987341772152,0,2.018987341772152,0,2.018987341772152,0,2.018987341772152,0
38,20152,male,3.94,2013.0,4.0,2015.0,0,0,reguler,3.5,0,3.1973684210526314,0,3.359375,0,3.3693181818181817,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0,3.460526315789474,0
39,20130,male,5.0,2010.0,3.7,2012.0,0,1,reguler,2.8333333333333335,0,2.659090909090909,0,2.7291666666666665,0,2.875,0,2.879166666666667,0,2.880281690140845,0,2.88855421686747,0,2.8854166666666665,0,2.8912037037037037,0,2.8884297520661155,0,2.888888888888889,0,2.8882978723404253,0,2.890625,0,2.890625,0,2.890625,0,2.890625,0
40,20150,male,5.0,2009.0,3.8,2012.0,1,3,dropOut,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
41,20082,male,4.5,2003.0,4.0,2005.0,0,3,dropOut,3.5,0,1.75,1,1.9166666666666667,0,1.4375,2,1.55,1,1.2916666666666667,1,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0,1.2916666666666667,0
42,20151,male,4.25,2012.0,4.2,2014.0,0,1,reguler,1.3333333333333333,1,1.35,2,2.263157894736842,1,3.0,0,2.2635135135135136,3,2.5878378378378377,1,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0,2.5878378378378377,0
